Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Company Name,Industry,Daily_Return,MA20,MA50,MA200,EMA20,EMA50,RSI14,EMA12,EMA26,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,BB_Width,Rolling_Volatility_20,Log_Return,Cumulative_Return,MA20_MA50_Ratio,EMA20_EMA50_Ratio,BB_Position,RSI_Momentum,Return_5D,Return_10D,Return_20D,Volume_MA20,Volume_Ratio,Volatility_50,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,IND_AUTOMOBILE,IND_CEMENT & CEMENT PRODUCTS,IND_CONSTRUCTION,IND_CONSUMER GOODS,IND_ENERGY,IND_FERTILISERS & PESTICIDES,IND_FINANCIAL SERVICES,IND_IT,IND_MEDIA & ENTERTAINMENT,IND_METALS,IND_PHARMA,IND_SERVICES,IND_TELECOM,Recommendation
2021-04-30,BHARTIARTL,EQ,540.85,533.5,547.0,533.5,535.5,536.75,540.94,8178192,442388861505000.0,106580.0,3045108.0,0.3723,Bharti Airtel Ltd.,TELECOM,-0.00758066007210878,533.0475,540.231,516.6925,533.9593677702803,537.3098319717037,46.860873932697125,534.58711608268,534.5099402426476,0.07717584003239608,-1.4902073228222796,1.5673831628546757,533.0475,549.983368973729,516.1116310262711,33.87173794745786,0.015945726681758993,-0.007609539317408228,11.102593010146597,0.986702910421653,0.9937643720586155,0.6093094191311748,-2.751929371381351,0.02707615767317262,-0.004820617409845185,0.029242569511025884,9237656.25,0.8853102755366113,0.016027166336598748,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,Hold
2021-04-30,POWERGRID,EQ,220.15,217.75,222.3,216.65,220.35,220.05,220.24,9504624,209332798050000.0,56225.0,4634594.0,0.4876,Power Grid Corporation of India Ltd.,ENERGY,-0.0004542357483533488,211.30750000000003,218.227,191.36275,213.79863974563662,212.9548099193012,61.47455867082037,214.37282111637649,213.8857248273099,0.4870962890665851,-1.357507190395656,1.844603479462241,211.30750000000003,223.80824839867253,198.80675160132753,25.001496797345,0.021576630689096713,-0.00045433894466237484,1.1873757455268366,0.9682921911587477,1.0039624830575802,0.8496790640522122,1.797139315981667,0.04215013023916647,0.05895091434071231,-0.00587305172803243,10198662.7,0.9319480680540597,0.024640103397296845,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Hold
2021-04-30,BPCL,EQ,419.55,417.5,437.5,414.65,422.1,421.8,428.14,16851470,721472414705000.0,195429.0,6453804.0,0.3829999999999999,Bharat Petroleum Corporation Ltd.,ENERGY,0.005362888809438582,419.7099999999999,432.6189999999999,403.48525,420.8746831443319,423.1458126715898,44.45851804939836,418.9480036781961,422.299729308289,-3.351725630092915,-4.5569197537167785,1.2051941236238637,419.7099999999999,438.2557783533591,401.1642216466407,37.09155670671839,0.01721621171230438,0.005348559728595695,0.056480901690672214,0.9701608112449985,0.9946327496119629,0.5563470553831332,-0.07026120423860505,-0.002954733483039873,0.041867358280844647,-0.02089136490250698,7285337.55,2.3130664686909395,0.020905114837260427,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Hold
2021-04-30,BAJAJ-AUTO,EQ,3836.45,3805.0,3966.35,3800.0,3827.0,3833.75,3869.17,1340273,518574374275000.0,79430.0,229768.0,0.1714,Bajaj Auto Ltd.,AUTOMOBILE,-0.0007037756259040684,3676.9600000000005,3763.131,3354.6527499999997,3715.15150242634,3719.2347672395554,61.75474471212217,3739.4069184986593,3713.914161120533,25.492757378126043,-10.361304450960475,35.85406182908652,3676.9600000000005,3877.3165758183986,3476.6034241816023,400.7131516367963,0.019326491450957717,-0.0007040233922246286,5.339396444811922,0.9771012489334017,0.9989021223265651,0.8912773997048964,2.1114687755672037,0.043907420013614695,0.06567060458651852,0.04555867673930236,707387.75,1.8946794031985994,0.018521101002265356,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Hold
2021-04-30,MARUTI,EQ,6565.65,6537.1,6559.6,6421.0,6438.35,6455.65,6500.51,849997,552541815500000.0,95248.0,382594.0,0.4501,Maruti Suzuki India Ltd.,AUTOMOBILE,-0.016753862907709083,6686.9,6962.678999999999,7065.162,6691.446781215224,6929.641559984603,35.8169035610576,6616.077012767088,6747.06059638291,-130.98358361582268,-130.76800104117638,-0.21558257464630515,6686.9,6956.882069580291,6416.917930419709,539.9641391605819,0.01884428123598031,-0.01689579639159849,38.29184418746197,0.9603918261921884,0.9656266811627255,0.07173081834749823,-2.0808122262882662,-0.03302077560252259,-0.0283854460623848,-0.05781692401996563,872279.8,0.9744545270909631,0.016851318081826196,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Sell
2021-04-30,HCLTECH,EQ,909.55,905.0,915.0,895.4,900.1,898.95,904.98,10921664,988391121380000.0,465056.0,6189272.0,0.5667,HCL Technologies Ltd.,IT,-0.011654114672090543,981.405,967.097,862.54,959.9267157273492,964.5971787574628,17.681362257989335,946.2031358053407,964.2426286675269,-18.039492862186194,-5.8970660947341855,-12.142426767452008,981.405,1073.2175602003822,889.5924397996176,183.62512040076456,0.01813132851152039,-0.011722556135921143,-0.4216925600694801,1.0147947930765993,0.9951581207855804,0.0509601310537436,-1.0395394817803805,-0.05933134515774596,-0.09370904325032758,-0.09725848563968664,7037789.6,1.5518599760356577,0.018138203494518473,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Buy
2021-04-30,ITC,EQ,204.3,203.9,205.7,202.0,202.4,202.6,203.73,16495657,336064882550000.0,124300.0,8268973.0,0.5013000000000001,ITC Ltd.,CONSUMER GOODS,-0.008321096426823327,208.8025,210.821,198.005,207.59724115406667,209.7763744439907,28.7425149700598,205.9859758459247,208.4539052823538,-2.467929436429074,-2.0236020609272547,-0.44432737550181933,208.8025,218.8730654989147,198.7319345010853,20.141130997829407,0.013856422179682928,-0.008355910008993396,-0.7140437544107245,0.9904255268687655,0.9896121129192942,0.19204807810105337,-1.3830080424924347,-0.013391770148526883,-0.019835510401548073,-0.055697972500582726,20372104.75,0.8097178569632085,0.014917475631168192,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Hold
2021-04-30,LT,EQ,1358.65,1350.0,1365.0,1336.1,1340.05,1340.45,1349.74,1968093,265641930620000.0,63130.0,953902.0,0.4847,Larsen & Toubro Ltd.,CONSTRUCTION,-0.013395650093843137,1372.0774999999999,1431.135,1170.8654999999999,1370.5296269249513,1391.8265577838495,37.136319058515845,1358.101709871391,1379.451620005066,-21.34991013367494,-23.92244597482302,2.572535841148081,1372.0774999999999,1446.2763400743024,1297.8786599256973,148.3976801486051,0.018897758582244035,-0.013486181205641734,1.1077914930419364,0.9587338021919665,0.9846985741579696,0.2868733529504766,-5.347988837090362,0.013266308866883403,-0.024879060124395336,-0.058375188788591825,2530283.6,0.7778151824562274,0.01855729342869625,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Hold
2021-04-30,HDFC,EQ,2538.85,2503.1,2525.0,2411.1,2433.25,2420.1,2445.94,6024595,1473580739110000.0,224454.0,3839105.0,0.6372,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,-0.04677314532170074,2497.515,2562.101,2239.6527499999997,2507.312034393107,2529.045575093999,44.39687393815832,2501.470177848535,2513.8134773832016,-12.343299534666585,-14.977075746729474,2.633776212062889,2497.515,2590.617490780323,2404.412509219677,186.20498156064605,0.02499782356608185,-0.04790236097113006,7.245655877342358,0.9747917822131132,0.9914064258410668,0.08424850210150646,-10.011542486431466,-0.03093278875608141,-0.049879276838819875,-0.0712106384203558,3775792.45,1.5955842594049363,0.022437854883097942,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Hold
2021-04-30,GRASIM,EQ,1350.7,1342.0,1407.4,1333.0,1401.1,1401.75,1386.13,3261678,452111640235000.06,87943.0,1445017.0,0.4429999999999999,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,0.037795217294736005,1375.6299999999999,1344.921,949.9315000000001,1356.4780763836388,1315.083433795878,43.403523850451236,1351.2591389296822,1354.8582201184126,-3.5990811887304517,-1.2678168030939658,-2.331264385636486,1375.6299999999999,1495.2921181767288,1255.967881823271,239.32423635345776,0.01983744709920075,0.03709847943706341,2.1981519507186915,1.0228333113989594,1.0314768185226688,0.6091406386498337,7.459944083914266,0.09674516860965499,0.03891050583657596,-0.014656263180092721,1629035.55,2.0022141321593625,0.0191389492484653,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Hold
