Avg_Return,Volatility,Sharpe,Sortino,Drawdown,Return_Score,Sharpe_Score,Sortino_Score,Drawdown_Score,Volatility_Score,Investment_Score,Rank
0.0008502083869707913,0.025191281076789872,0.03375010522010076,0.04809003399130392,-0.7847465908586151,0.598205475852437,0.6092091590741104,0.5631946602578748,0.30383602524740727,0.5166695086156723,0.5404448626058675,11
0.001206412952640827,0.03149502483794667,0.03830487382843034,0.046679672423799744,-0.9668688754083061,0.8035378068235368,0.6726599106882525,0.5505729949586914,0.02865246844800584,0.20985115342627347,0.5254317689206842,12
0.0008044570589420454,0.022355031683062042,0.035985502966277,0.03471167880333735,-0.9248048186299899,0.5718323528367484,0.640349636088037,0.44346853801609853,0.0922105156484887,0.6547165814127445,0.49664173138633316,13
0.0008381460152846863,0.02609280117249823,0.032121733873789325,0.03585212730641149,-0.8147414430136943,0.5912521823406349,0.5865249362924212,0.4536746863034695,0.25851433316499306,0.47279035942819503,0.4936827748492892,14
0.0007895477821635296,0.023969271604075162,0.032939998978913226,0.03469925395820748,-0.8417647517343518,0.5632379751979683,0.5979238767006756,0.44335734508498303,0.21768259075287855,0.5761476458385895,0.4931312475178328,15
0.0007072633052105408,0.024033912331194857,0.029427722605634508,0.033930720577557597,-0.7900864678578636,0.5158055021646327,0.5489956884819422,0.43647955478970546,0.29576756537080384,0.5730014263340275,0.4786449731139589,16
0.0009318022290488051,0.029978656982739365,0.031082187223573872,0.03873848469979863,-0.897998996711443,0.6452398358844363,0.5720434067206426,0.47950539368556644,0.13271363934208824,0.28365642039534267,0.4688100255553192,17
0.00040858745523740265,0.018716715319720426,0.02183008333769463,0.03043241954567914,-0.6412001237240953,0.34363531011670434,0.4431558613692534,0.4051724164235523,0.5207322029432662,0.8318021807890582,0.4642569730604007,18
0.0010300221527546809,0.03272460676993447,0.03147546309711527,0.03408636725470829,-0.889451305932375,0.7018582170789466,0.5775219835515875,0.43787247438507026,0.14562904920981157,0.15000444641579236,0.4599411591005841,19
0.0007530729557660719,0.027838744106983032,0.02705125464252434,0.03769118772232729,-0.8495297805642633,0.5422122449076554,0.5158900158533672,0.4701328808327936,0.20594976927335273,0.38781112173867394,0.45041625151061004,20
0.000597993797571084,0.02114622464085074,0.02827898633100996,0.029105844909553622,-0.8536304097130051,0.4528176438662138,0.5329930797219579,0.39330058055015116,0.19975379102139867,0.7135521246208925,0.450104878942667,21
0.0010914854701222474,0.035806526665683916,0.030482863649779802,0.03752102441368357,-0.9858316836241425,0.7372884373529608,0.5636944576329184,0.46861004840642273,-2.220446049250313e-16,0.0,0.43371853686207334,22
0.0009434799659862791,0.03295939564954678,0.028625523842068772,0.033698181389673024,-0.9244584038012402,0.6519714086292394,0.5378205621760532,0.4343985055991656,0.0927339423391822,0.13857670750557483,0.42810783887989007,23
0.0006038481582375971,0.023745249205113735,0.025430272515630344,0.026077164895080416,-0.8205949992660371,0.4561923606381324,0.49330872948100973,0.36619619375900037,0.24966971300536867,0.5870513542663436,0.42693573178911914,24
0.0005283211648322405,0.023246418985256357,0.0227269914203697,0.025966064398657614,-0.813079441237474,0.41265520502085584,0.45565034722973347,0.3652019286622116,0.26102558850817137,0.6113306196321873,0.41081352757808853,25
0.000620010662195659,0.024919396814655506,0.024880644856982277,0.027973990148067604,-0.9243109286619625,0.4655091547836423,0.48565207531303195,0.3831713397257259,0.09295677467113017,0.5299027689242481,0.40152408157516384,26
0.0005460879278250659,0.024453675364156442,0.022331527661707137,0.02633562835156415,-0.9098984281466034,0.42289676622113337,0.4501412918021086,0.3685092454721017,0.11473380851405701,0.5525705509332557,0.3842161785233188,27
0.0006411378108677649,0.027986112773320197,0.02290914126091053,0.026026294063225163,-0.8943356219709209,0.47768779341354417,0.4581878074791028,0.36574093843443545,0.13824893390243576,0.38063833465766383,0.3832303090861803,28
0.000550307030705604,0.025787309699706443,0.02134022653444413,0.024044842647095038,-0.8752856857567621,0.42532884686400263,0.4363318522872764,0.3480084525547722,0.16703305121776424,0.4876593634292654,0.37678833222326763,29
0.0006137557648300293,0.02684130344106647,0.02286609389807052,0.02624586141494473,-0.9567758850413329,0.4619035506453184,0.4575881310164588,0.3677058995393645,0.043902798712603275,0.43635895555154125,0.37180493968088707,30
